project,commit,typeRFT,description,pre_commit_line_number,pre_commit_code_element,pre_commit_description,post_commit_line_number,post_commit_code_element,post_commit_description,MANUAL - observation,MANUAL - Abstracted Observation,MANUAL - High Level Category,MANUAL - additional details
ambari,21f4ae4780dcd1959e7d528a55b96c6b6dd90ef6,Add Class Annotation,Add Class Annotation @Ignore in class org.apache.ambari.server.stack.KerberosDescriptorTest,31,org.apache.ambari.server.stack.KerberosDescriptorTest,original class declaration,36,@Ignore,added annotation,"@Ignored due to a bug. @Category is added afterwards to categorize type to improve testing time. However, I think additional @Category(failed test) + @Ignore can be used to better annotate.",[Bug -> @Ignored],IGNORED,BUG
ambari,f5558eb8271076757a994be71211e71a70e2f885,Add Method Annotation,Add Method Annotation @Ignore in method public testMassiveWriteContainerHistory() : void from class org.apache.hadoop.yarn.server.applicationhistoryservice.TestMemoryApplicationHistoryStore,186,public testMassiveWriteContainerHistory() : void,original method declaration,188,@Ignore,added annotation,"Dev said @Ignored due to bad test (but no further explanation). During software life cycle they even refactor using automated tool without realizing it's ignored. Later, it becomes obsolete and removed.",[forgotten @Ignored],IGNORED,BUG
ambari,8e212903f5c650ef153b34afd5498b60b5088e80,Modify Class Annotation,"Modify Class Annotation @PrepareForTest({AbstractTimelineMetricsSink.class,URL.class,HttpURLConnection.class}) to @PrepareForTest({AbstractTimelineMetricsSink.class,URL.class,HttpURLConnection.class,MetricCollectorHAHelper.class}) in class org.apache.hadoop.metrics2.sink.timeline.availability.MetricCollectorHATest",43,"@PrepareForTest({AbstractTimelineMetricsSink.class,URL.class,HttpURLConnection.class})",original annotation,48,"@PrepareForTest({AbstractTimelineMetricsSink.class,URL.class,HttpURLConnection.class,MetricCollectorHAHelper.class})",modified annotation,"@Ignored due to bug, but still ignored for 1 year.",[Bug -> @Ignored],IGNORED,BUG
ambari,65971b663a06984bb22886649caccd92a9d99515,Remove Method Annotation,Remove Method Annotation @Ignore in method public testActionTimeout() : void from class org.apache.ambari.server.actionmanager.TestActionScheduler,188,@Ignore,deleted annotation,188,public testActionTimeout() : void,method declaration with removed annotation,delete ignored after fixing a bug,[Bug -> @Ignored],IGNORED,BUG
ambari,7cdb6e4f77b1fb74d05feac9857213a085d21478,Add Class Annotation,Add Class Annotation @RunWith(PowerMockRunner.class) in class org.apache.ambari.server.upgrade.StackUpgradeHelperTest,25,org.apache.ambari.server.upgrade.StackUpgradeHelperTest,original class declaration,38,@RunWith(PowerMockRunner.class),added annotation,delete ignored after fixing a bug,[Bug -> @Ignored],IGNORED,BUG
camel,8d972b24e0ee74fb92c646d75e875a11eb11ebe1,Modify Class Annotation,"Modify Class Annotation @Ignore(""Must be manually tested. Provide your own accessKey and secretKey!"") to @Ignore(""Must be manually tested. Provide your own credentials below!"") in class org.apache.camel.component.aws.ddb.integration.DdbComponentIntegrationTest",36,"@Ignore(""Must be manually tested. Provide your own accessKey and secretKey!"")",original annotation,36,"@Ignore(""Must be manually tested. Provide your own credentials below!"")",modified annotation,Ignored test to fix issue ( bug report shown as resolved ) and still ignored to this day.,[ Bug -> @Ignored] [forgotten],IGNORED,BUG
camel,1b1ccbcd94860f6f1d8caf98fb59e6ab7b3940b4,Remove Method Annotation,Remove Method Annotation @Ignore in method public testHttpSendJavaBodyAndReceiveJavaBody() : void from class org.apache.camel.component.jetty.javabody.HttpJavaBodyTest,81,@Ignore,deleted annotation,78,public testHttpSendJavaBodyAndReceiveJavaBody() : void,method declaration with removed annotation,re-enable forgotten @Ignored.,[forgotten @Ignored],IGNORED,BUG
camel,63f4fbbbf84e13c26b0d0781af828cace939b83d,Remove Method Annotation,Remove Method Annotation @Ignore in method public testPatch() : void from class org.apache.camel.component.google.drive.DriveFilesIntegrationTest,152,@Ignore,deleted annotation,152,public testPatch() : void,method declaration with removed annotation,re-enable forgotten @Ignored.,[forgotten @Ignored],IGNORED,BUG
camel,afae5862cbf2e726903268409557b804aed85245,Remove Method Annotation,Remove Method Annotation @BeforeClass in method public startServer() : void from class org.apache.camel.component.cmis.CMISTestSupport,150,@BeforeClass,deleted annotation,150,public startServer() : void,method declaration with removed annotation,remove ignore after bug fixing,[Bug -> @Ignored],IGNORED,BUG
camel,7a9a6acb798c1d4c506a9c9c6da70f43a43473bb,Add Method Annotation,"Add Method Annotation @Ignore(""This is a manual test, by looking at the logs"") in method public testLongShutdownOfThreadPool() : void from class org.apache.camel.impl.DefaultExecutorServiceManagerTest",498,public xxxTestLongShutdownOfThreadPool() : void,original method declaration,498,"@Ignore(""This is a manual test, by looking at the logs"")",added annotation,integration test failure,[ Bug -> @Ignored],IGNORED,BUG
